,season_file,match_url,summary,article_sentences_ix,events_mapping
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49871134,"Mario Balotelli scored his first Serie A goal for 1,468 days but Napoli hung on to claim a narrow victory over Brescia at Stadio San Paolo.
Dries Mertens opened the scoring with his fourth league goal of the season before Kostas Manolas headed in the second on the stroke of half-time. 
Brescia rallied after the break but Sandro Tonali's stunning goal was ruled out by VAR for a foul in the build-up.
Balotelli headed home to set up a tense finale, but Napoli held on.
The result sees Napoli strengthen their grip on fourth place in Serie A, while Brescia remain 14th.
Watford striker Stefano Okaka scored the winner as loan club Udinese beat Bologna 1-0, before the visitors' disappointing afternoon was compounded when Roberto Soriano was sent off in injury time.
","[ 0  0  0  1  6  6  2  2  6  0  3  2  6  6  1  6  6  1  0  2  2  6  2  6
  6  1  6  0  1  0  0  0 10  1  0  6  0  0  6  1]","[2, 4, 5, 6, 8, 11, 13, 14, 16, 17, 21, 28, 29, 31, 32, 33, 38, 45, 50, 54, 55, 58, 61, 62, 63, 64, 69, 72, 74, 77, 85, 86, 91, 94, 97, 99, 100, 102, 103, 105]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49873763,"Erick Pulgar's penalty opened the scoring before the hosts were reduced to 10 men when Mateo Musacchio was sent off for a foul on Franck Ribery.
Gaetano Castrovilli fired in after the break but Federico Chiesa's penalty was saved by Gianluigi Donnarumm.
Ribery then secured his side's first away win of the season before Rafael Leao scored a consolation late on.
Milan travel to Genoa next on Saturday, 5 October (19:45 BST), while ninth-placed Fiorentina host Udinese the following day (11:30).",[2 5 2 5 2 1 1 2 1 1 3 5 1 2 3 5 1 3 2 5 2 1 1 2 3 5],"[4, 5, 8, 10, 11, 13, 17, 20, 22, 23, 29, 30, 32, 33, 39, 47, 60, 62, 68, 71, 77, 81, 84, 85, 88, 92]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49865134,"Cristiano Ronaldo returned from injury with a goal as Serie A champions Juventus maintained their unbeaten start to the season by beating SPAL.
Ronaldo had missed the win over Brescia with an adductor problem, but powered home a header in the second half.
Juve took the lead through Miralem Pjanic's stunning curling strike on the stroke of half-time.
SPAL keeper Etrit Berisha made stunning saves to keep out close-range headers from Aaron Ramsey and Sami Khedira.
",[1 0 0 3 1 1 0 1 0 0 3 2 1 0 0 1 2 0 0 1 0 0 1 1 0 2],"[3, 6, 8, 9, 13, 14, 15, 17, 32, 37, 39, 41, 48, 49, 56, 58, 66, 70, 73, 77, 79, 82, 91, 94, 100, 102]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49866723,"Alexis Sanchez scored and was sent off on his first Inter Milanstart but his side maintained their 100% winning run in Serie A by beating Sampdoria.
Jakub Jankto pulled a goal back, but Roberto Gagliardini added the third for Antonio Conte's side, who stay top.",[4 0 0 0 4 0 0 1 1 4 0 0 0 4 4 1 0 0 0 0 4 4 1 0 4 4 0 1 1 0 1 1 1 1 1],"[5, 16, 22, 23, 24, 25, 26, 27, 30, 35, 44, 45, 46, 50, 51, 52, 55, 57, 62, 70, 71, 74, 77, 80, 86, 88, 90, 94, 98, 102, 107, 109, 110, 116, 118]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49832309,"On-loan Manchester United defender Chris Smalling made his Roma debut but was unable to prevent the Italian side from slipping to defeat as they lost 2-0 at home to Atalanta.
Roma were unbeaten in their five games prior to this fixture but fell behind to Duvan Zapata's fierce drive.
Marten de Roon then made the win safe when he headed home in the 90th minute.
Despite the defeat Smalling was one of Roma's better players, making a couple of important tackles.
The win at the Stadio Olimpico moved Atalanta onto 10 points in Serie A.",[4 3 4 4 2 3 3 0 3 4 3 4 2 3 3 4 1 4 1 4 1 3 3 3 3 1 4 0 2 3],"[2, 15, 16, 17, 18, 22, 23, 25, 28, 31, 47, 55, 56, 60, 62, 68, 73, 75, 78, 79, 82, 87, 93, 94, 96, 99, 100, 109, 110, 111]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49818211,"Juventus replaced Inter Milan at the top of Serie A after coming from behind to beat newly-promoted Brescia.
Alfredo Donnarumma fired the hosts, who gave a debut to former Liverpool and Manchester City striker Mario Balotelli, into a surprise lead.
An own goal by Venezuela defender Jhon Chancellor levelled the scores before Bosnia-Herzegovina midfielder Miralem Pjanic got the winner.
Juventus were without Cristiano Ronaldo due to an adductor injury.
",[1 3 3 3 2 3 3 0 3 0 1 3 2 1 1 1 3 3 3 3 2 0 1 3 0 2 0 3 3 3 2 1 3 1 1 3 0],"[8, 14, 15, 16, 18, 20, 21, 24, 28, 31, 34, 39, 46, 50, 53, 58, 65, 70, 78, 81, 82, 85, 88, 93, 94, 95, 96, 99, 100, 101, 106, 107, 109, 110, 111, 114, 115]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49783147,"Wales midfielder Aaron Ramsey scored on his Serie A debut as champions Juventus came from behind to defeat Verona.
Ramsey, 28, made his first appearance as an 86th-minute substitute in the Champions League on Wednesday and saw his long-range shot deflected into the corner 31 minutes into his full debut.
Verona had taken a 20th-minute lead courtesy of Miguel Veloso's spectacular volley from outside the box.
But Cristiano Ronaldo completed the turnaround with a second-half penalty. 
Returning veteran goalkeeper Gianluigi Buffon produced an excellent save late on to secure the three points - the 41-year-old making his second debut for the hosts against the side against whom he played his previous Juventus game in May 2018.
Moments before taking a surprise lead, a spirited Verona had missed a penalty after Merih Demiral brought down Samuel Di Carmine.Di Carmine struck the post from the spot-kick, before Darko Lazovic fired the rebound off the bar.
A fortunate deflection ensured a dream debut goal for Ramsey, who moved to Turin in the summer after his Arsenal deal expired, and just four minutes after the restart Ronaldo converted from the spot following Koray Gunter's clumsy challenge on Juan Cuadrado.
",[0 3 1 3 2 3 3 0 2 3 7 7 3 3 3 3 3 2 2 9 3 7 7 2 8 4 3 2],"[2, 8, 11, 12, 24, 35, 41, 44, 45, 46, 48, 51, 55, 57, 61, 66, 67, 74, 76, 77, 78, 85, 98, 102, 103, 109, 113, 114]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49783140,"Romelu Lukaku scored in his first Milan derby as Inter beat AC Milan.
Marcelo Brozovic gave Antonio Conte's Inter the lead with a deflected strike, which was confirmed after a VAR review.
Former Manchester United forward Lukaku headed home his third goal in four Serie A matches from Nicolo Barella's cross.
Inter hit the woodwork twice late on, through Matteo Politano and Antonio Candreva, with Milan's Theo Hernandez also striking the post.
",[2 2 2 0 2 3 3 3 3 3 2 1 1 1 2 1 3 0 3 2 3 3 1],"[3, 14, 21, 22, 23, 24, 25, 33, 50, 51, 52, 63, 64, 72, 73, 74, 75, 76, 85, 95, 108, 119, 120]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49710440,"On-loan Arsenal forward Henrikh Mkhitaryan scored on his debut as AS Roma beat Sassuolo 4-2 in Serie A.
The Armenia international scored his side's third goal with a low strike after Bryan Cristante's header and a volley from Edin Dzeko had put Roma in control.
Justin Kluivert's composed finish made it 4-0 and although Domenico Berardi hit a brace for SassuoloThe win was Roma's first of the season.
",[4 1 1 2 1 0 2 2 1 2 4 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2],"[10, 11, 13, 14, 17, 20, 21, 30, 35, 41, 51, 53, 55, 56, 59, 60, 68, 69, 73, 83, 88, 89, 90, 91, 92, 97]"
0,italian_serie_a_2019_2020.json,https://www.bbc.com/sport/football/49702257,"Juventus were held to a goalless draw by Fiorentina as their manager Maurizio Sarri took his place in the dugout for the first time.
Cristiano Ronaldo, who scored four goals in his last game for Portugal, endured a frustrating day and saw a late bicycle kick go well off target.
Franck Ribery made his first Serie A start for Fiorentina.
Italian champions Juventus, who won their first two matches, lost Douglas Costa, Miralem Pjanic and Danilo through injury.
",[3 2 2 0 3 3 0 5 0 3 0 0 3 0 0 3 0 0 3 0 2 0 0 0 0 0],"[8, 15, 16, 24, 25, 31, 32, 35, 38, 46, 47, 48, 52, 56, 63, 64, 65, 66, 72, 75, 79, 80, 91, 109, 113, 114]"
